Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
what are the 7 kingdoms in game of thrones map,Informational,90,"1.00,0.27,0.27,0.55,0.73,0.55,0.27,0.27,0.27,0.27,0.45,0.27",30,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches",75
a map of game of thrones,Informational,70,"0.79,0.56,0.56,0.56,0.00,0.56,0.00,0.79,0.21,0.79,1.00,0.79",21,0.00,0.25,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",25000000
a map of the game of thrones,Informational,70,"0.45,0.45,0.45,0.45,0.45,0.45,0.64,0.64,0.64,0.17,0.36,1.00",30,0.00,0.25,"Sitelinks, Image, Image pack, Video, People also ask, Related searches",24300000
a game of thrones map,"Informational, Commercial",30,"0.15,0.00,0.00,0.00,0.23,0.00,0.38,0.00,0.46,0.08,0.15,1.00",32,0.00,0.25,"Sitelinks, Image, Image pack, Video, Related searches, Popular products",36800000
a game of thrones board game map,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
a map of game of thrones world,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.10,,
a map of the game of thrones world,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.10,,
a map of the world of game of thrones,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.10,,
is game of thrones map real,,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
is there a map of game of thrones,,20,"1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
what are the seven kingdoms in game of thrones map,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
what is the game of thrones map based on,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
what is the map of game of thrones,,20,"1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
where is braavos in game of thrones map,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
where is dragonstone game of thrones map,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
where is dragonstone in game of thrones map,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
where is meereen in game of thrones map,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
where is old valyria in game of thrones map,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
where is pentos in game of thrones map,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
where is qarth in game of thrones map,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
where is the citadel game of thrones map,,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.00,,
